2022-23 Dropout Report (District) All Students,,,,,,,,
District Name,District Code,# Enrolled Grades 09 through 12,# Dropout All Grades,% Dropout All Grades,% Dropout Grade 09,% Dropout Grade 10,% Dropout Grade 11,% Dropout Grade 12
Pioneer Charter School of Science (District),04940000,     211,       0,   0.0,   0.0,   0.0,   0.0,   0.0
Pioneer Charter School of Science II (District),35060000,     221,       0,   0.0,   0.0,   0.0,   0.0,   0.0
Pioneer Valley,07500000,     146,       5,   3.4,  11.1,   0.0,   7.1,   0.0
Pioneer Valley Chinese Immersion Charter (District),04970000,     120,       0,   0.0,   0.0,   0.0,   0.0,   0.0
Pioneer Valley Performing Arts Charter Public (District),04790000,     253,       3,   1.2,   0.0,   1.6,   0.0,   3.4
Pittsfield,02360000,"   1,560",      42,   2.7,   2.4,   3.0,   3.5,   1.7
Plymouth,02390000,"   2,329",      26,   1.1,   0.5,   1.4,   0.7,   1.9
Prospect Hill Academy Charter (District),04870000,     285,       5,   1.8,   1.3,   4.3,   1.5,   0.0
Quabbin,07530000,     566,      21,   3.7,   3.4,   3.8,   4.1,   3.7
Quaboag Regional,07780000,     354,       2,   0.6,   0.0,   0.0,   2.3,   0.0
Quincy,02430000,"   2,945",      50,   1.7,   3.3,   1.7,   1.1,   0.6
Ralph C Mahar,07550000,     334,      20,   6.0,   3.6,   7.6,   9.1,   4.5
Randolph,02440000,     617,      19,   3.1,   2.4,   1.3,   2.2,   7.7
Reading,02460000,"   1,096",       3,   0.3,   0.4,   0.4,   0.0,   0.3
Revere,02480000,"   2,164",     100,   4.6,   5.3,   4.5,   3.9,   4.8
Rising Tide Charter Public (District),04830000,     268,       1,   0.4,   0.0,   1.4,   0.0,   0.0
Rockland,02510000,     576,      16,   2.8,   2.9,   3.7,   3.1,   1.5
Rockport,02520000,     231,       5,   2.2,   0.0,   4.3,   1.5,   3.2
Roxbury Preparatory Charter (District),04840000,     555,      19,   3.4,   6.1,   2.1,   3.3,   0.9
Salem,02580000,     952,      27,   2.8,   2.8,   2.1,   3.8,   2.8
Salem Academy Charter (District),04850000,     275,       0,   0.0,   0.0,   0.0,   0.0,   0.0
Sandwich,02610000,     569,       3,   0.5,   0.0,   1.4,   0.0,   0.6
Saugus,02620000,     709,      11,   1.6,   1.6,   1.1,   2.8,   0.6
Scituate,02640000,     762,       3,   0.4,   0.6,   0.5,   0.0,   0.5
Seekonk,02650000,     533,       6,   1.1,   0.0,   1.3,   1.6,   1.5
Sharon,02660000,"   1,143",       2,   0.2,   0.0,   0.4,   0.0,   0.3
Shawsheen Valley Regional Vocational Technical,08710000,"   1,292",       3,   0.2,   0.3,   0.3,   0.0,   0.4
Shrewsbury,02710000,"   1,821",      11,   0.6,   0.2,   0.2,   0.9,   1.1
Silver Lake,07600000,"   1,037",       2,   0.2,   0.0,   0.4,   0.0,   0.4
Sizer School: A North Central Charter Essential (District),04740000,     207,       2,   1.0,   3.2,   0.0,   0.0,   0.0
Somerset Berkley Regional School District,07630000,     994,       6,   0.6,   0.0,   0.8,   0.8,   0.8
Somerville,02740000,"   1,349",      27,   2.0,   2.5,   2.0,   1.6,   1.7
South Hadley,02780000,     495,       5,   1.0,   0.0,   1.4,   0.8,   1.6
South Middlesex Regional Vocational Technical,08290000,     842,      11,   1.3,   0.0,   0.0,   3.3,   2.2
South Shore Charter Public (District),04880000,     331,       1,   0.3,   0.0,   0.0,   1.4,   0.0
South Shore Regional Vocational Technical,08730000,     653,       5,   0.8,   0.0,   0.6,   0.0,   2.5
Southbridge,02770000,     480,      24,   5.0,   2.0,   6.6,   8.8,   3.1
Southeastern Regional Vocational Technical,08720000,"   1,558",       0,   0.0,   0.0,   0.0,   0.0,   0.0
Southern Berkshire,07650000,     163,       3,   1.8,   0.0,   4.2,   3.7,   0.0
Southern Worcester County Regional Vocational School District,08760000,"   1,185",       5,   0.4,   0.0,   0.0,   1.0,   0.7
Southwick-Tolland-Granville Regional School District,07660000,     393,       3,   0.8,   0.9,   0.0,   1.0,   1.1
Spencer-E Brookfield,07670000,     352,      19,   5.4,   0.0,   8.8,   6.7,   6.9
Springfield,02810000,"   7,064",     280,   4.0,   3.1,   3.7,   3.2,   6.0
Springfield International Charter (District),04410000,     393,       3,   0.8,   0.0,   1.9,   0.0,   1.2
Stoneham,02840000,     614,       7,   1.1,   1.1,   1.4,   0.7,   1.4
Stoughton,02850000,"   1,069",      22,   2.1,   2.9,   0.7,   2.2,   2.7
Sturgis Charter Public (District),04890000,     830,       3,   0.4,   0.9,   0.0,   0.0,   0.5
Sutton,02900000,     369,       3,   0.8,   1.1,   1.1,   1.0,   0.0
Swampscott,02910000,     636,      10,   1.6,   3.0,   1.9,   1.3,   0.0
Swansea,02920000,     533,       5,   0.9,   2.8,   0.8,   0.0,   0.0
TEC Connections Academy Commonwealth Virtual School District,39020000,"   1,719",     238,  13.8,  14.5,  17.8,  13.5,   9.1
Tantasqua,07700000,"   1,191",      12,   1.0,   0.3,   0.0,   2.0,   1.8
Taunton,02930000,"   2,156",      57,   2.6,   1.1,   2.1,   3.3,   4.1
Tewksbury,02950000,     748,       9,   1.2,   0.0,   1.1,   1.5,   2.1
Tri-County Regional Vocational Technical,08780000,     957,       1,   0.1,   0.0,   0.0,   0.0,   0.5
Triton,07730000,     647,       9,   1.4,   0.6,   3.0,   0.0,   1.7
Tyngsborough,03010000,     414,       1,   0.2,   0.0,   0.0,   0.0,   0.9
Upper Cape Cod Regional Vocational Technical,08790000,     769,       6,   0.8,   0.0,   0.5,   1.1,   1.9
Uxbridge,03040000,     469,      20,   4.3,   0.0,   8.1,   2.4,   5.9
Veritas Preparatory Charter School (District),04980000,      95,       5,   5.3,   5.3,,,
Wachusett,07750000,"   1,912",      10,   0.5,   0.9,   0.0,   0.6,   0.6
Wakefield,03050000,     822,       6,   0.7,   2.3,   0.5,   0.0,   0.0
Walpole,03070000,     983,       5,   0.5,   0.0,   0.4,   0.4,   1.2
Waltham,03080000,"   1,747",      77,   4.4,   4.2,   5.9,   3.2,   4.3
Ware,03090000,     300,       8,   2.7,   2.4,   5.4,   1.5,   0.0
Wareham,03100000,     439,      17,   3.9,   1.5,   4.7,   5.7,   4.3
Watertown,03140000,     729,      13,   1.8,   3.0,   1.4,   1.8,   0.7
Wayland,03150000,     824,       0,   0.0,   0.0,   0.0,   0.0,   0.0
Webster,03160000,     359,      20,   5.6,   7.8,   3.0,   8.0,   3.6
Wellesley,03170000,"   1,412",       1,   0.1,   0.0,   0.0,   0.0,   0.3
West Boylston,03220000,     230,       1,   0.4,   1.6,   0.0,   0.0,   0.0
West Bridgewater,03230000,     406,       3,   0.7,   0.9,   1.0,   1.0,   0.0
West Springfield,03320000,"   1,174",      19,   1.6,   1.2,   3.0,   0.8,   1.4
Westborough,03210000,"   1,167",       2,   0.2,   0.0,   0.0,   0.3,   0.4
Westfield,03250000,"   1,591",      30,   1.9,   0.3,   1.2,   2.0,   4.2
Westford,03260000,"   1,523",       5,   0.3,   0.9,   0.3,   0.3,   0.0
Weston,03300000,     639,       4,   0.6,   2.5,   0.0,   0.0,   0.0
Westport,03310000,     314,       2,   0.6,   0.0,   2.2,   0.0,   0.0
Westwood,03350000,     902,       0,   0.0,   0.0,   0.0,   0.0,   0.0
