"","City","Year","Median Price","Days on Market","One-Year % Change in Price","Five-Year % Change in Price","Ten-Year % Change in Price"
"476","Boston",2019,880558,43,43,23,91
"477","Boxborough",2019,757839,69,12,15,33
"478","Boxford",2019,728837,56,6,10,20
"479","Braintree",2019,550518,41,11,34,49
"480","Bridgewater",2019,410547,67,5,25,31
"481","Brockton",2019,319682,45,8,49,81
"482","Brookline",2019,2130747,56,20,16,52
"483","Burlington",2019,666547,47,14,30,66
"484","Cambridge",2019,1972142,34,41,42,74
"485","Canton",2019,636600,52,13,19,32
"486","Carlisle",2019,1009762,68,15,6,7
"487","Carver",2019,362136,55,5,27,29
"488","Chelmsford",2019,484580,44,8,23,35
"489","Chelsea",2019,424843,46,-6,56,123
"490","Chestnut Hill",2019,1660000,NA,26,NA,NA
"491","Cohasset",2019,1175774,100,18,25,27
"492","Concord",2019,1357438,82,30,16,35
"493","Danvers",2019,532931,43,14,34,43
"494","Dedham",2019,570714,42,10,19,49
"495","Dover",2019,1620059,143,33,29,31
"496","Dracut",2019,407127,38,13,34,38
"497","Dunstable",2019,598144,62,4,24,41
"498","Duxbury",2019,909964,71,34,13,45
"499","East Bridgewater",2019,387582,50,4,28,34
"500","Easton",2019,535623,74,20,18,34
"501","Essex",2019,653920,89,19,7,13
"502","Everett",2019,458518,37,3,56,95
"503","Foxborough",2019,524116,63,16,30,26
"504","Framingham",2019,489110,38,8,29,48
"505","Franklin",2019,503124,50,8,15,17
"506","Georgetown",2019,510271,45,11,15,15
"507","Gloucester",2019,647847,76,44,15,35
"508","Groton",2019,554748,68,5,19,30
"509","Groveland",2019,483682,47,12,33,37
"510","Halifax",2019,674563,67,93,117,121
"511","Hamilton",2019,700102,70,16,21,52
"512","Hanover",2019,593513,50,7,25,41
"513","Hanson",2019,395785,45,6,29,40
"514","Harvard",2019,645438,88,3,5,20
"515","Haverhill",2019,367520,46,9,26,39
"516","Hingham",2019,1012007,75,23,24,32
"517","Holbrook",2019,368874,39,9,35,55
"518","Holliston",2019,564267,67,16,11,39
"519","Hopkinton",2019,710558,66,5,16,34
"520","Hudson",2019,426701,48,13,28,40
"521","Hull",2019,543017,68,31,28,37
"522","Ipswich",2019,623084,72,15,23,25
"523","Kingston",2019,464263,58,8,16,33
"524","Lakeville",2019,407539,77,9,21,42
"525","Lawrence",2019,297009,41,6,55,100
