Location,All Summary Offenses,Criminal Homicide,Murder and Nonnegligent Homicide,Manslaughter by Negligence,Forcible Rape Total,Rape by Force,Attempts to commit Forcible Rape,Robbery Total,Firearm,Knife or Cutting Instrument,Other Dangerous Weapon,"Strong-Arm (Hands, Fists, Feet, Etc.)",Assault Total,Aggravated Assault Total,Firearm,Knife or Cutting Instrument,Other Dangerous Weapon,"Hands, Fists, Feet, Etc. - Aggravated injury","Other Assaults - Simple, Not Aggravated",Burglary Total,Forcible Entry,Unlawful Entry - No Force,Attempted Forcible Entry,Larceny - Theft Total,Motor Vehicle Theft Total,Autos,Trucks and Buses,Other Vehicles,Arson,Human Trafficking - Commercial Sex Act,Human Trafficking - Involuntary Servitude,Year
Mansfield,15.3,,,,0.46,0.46,,0.21,0.04,,0.04,0.13,7.55,2.04,0.25,0.21,0.71,0.88,5.5,0.63,0.21,0.33,0.08,6.13,0.33,0.29,0.04,,,,,2019
Norton,2.26,,,,0.15,0.15,,,,,,,1.41,1.01,,0.05,0.55,0.4,0.4,0.35,0.15,0.2,,0.25,0.05,0.05,,,0.05,,,2019
Raynham,19.62,,,,0.28,0.28,,0.28,,0.14,,0.14,4.33,1.4,0.21,0.35,0.42,0.42,2.93,0.84,0.49,0.35,,12.85,1.05,0.98,,0.07,,,,2019
Rehoboth,7.1,,,,,,,0.08,0.08,,,,3.26,0.57,,0.16,0.41,,2.69,1.31,0.41,0.49,0.41,2.12,0.33,0.24,0.08,,,,,2019
Seekonk,19.51,0.06,,0.06,0.06,0.06,,0.19,0.06,0.06,,0.06,3.66,1.45,,0.13,0.88,0.44,2.21,1.7,0.69,0.88,0.13,13.07,0.69,0.63,0.06,,0.06,,,2019
Somerset,17.85,,,,0.17,0.17,,0.22,0.11,0.06,,0.06,10.2,2,0.06,0.39,0.83,0.72,8.21,0.44,0.33,0.11,,6.38,0.44,0.33,0.06,0.06,,,,2019
Swansea,15.77,,,,0.3,0.3,,0.06,0.06,,,,8.33,1.68,0.06,0.24,1.2,0.18,6.65,1.02,0.42,0.48,0.12,5.81,0.24,0.24,,,,,,2019
Westport,12.5,,,,0.25,0.25,,,,,,,4.9,1.19,,0.13,1.07,,3.71,1.7,0.75,0.82,0.13,4.96,0.63,0.57,0.06,,0.06,,,2019
U-Mass Dartmouth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Stonehill College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Bristol Comm College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Wheaton College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
MBTA - Bristol County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Bristol State Police,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Bristol State Police Framingham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Bristol State Police Middleboro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Dukes County,20.73,0,0,0,0.46,0.46,0,0.12,0,0,0.06,0.06,9.76,4.5,0,0.12,1.5,2.89,5.25,1.62,0.46,1.15,0,7.91,0.81,0.64,0.12,0.06,0.06,0,0,2019
Chilmark,10.87,,,,,,,,,,,,4.35,3.26,,,1.09,2.17,1.09,,,,,6.52,,,,,,,,2019
Edgartown,24.53,,,,0.69,0.69,,0.23,,,,0.23,9.86,3.67,,,1.15,2.52,6.19,2.06,0.69,1.38,,10.77,0.92,0.69,0.23,,,,,2019
Aquinnah,6.1,,,,,,,,,,,,6.1,6.1,,3.05,,3.05,,,,,,,,,,,,,,2019
Gosnold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Oak Bluffs,25.85,,,,0.21,0.21,,0.21,,,0.21,,11.75,5.13,,,1.92,3.2,6.62,2.35,0.85,1.5,,10.47,0.85,0.64,,0.21,,,,2019
Tisbury,22.11,,,,0.73,0.73,,,,,,,13.36,6.56,,,2.19,4.37,6.8,1.46,0.24,1.21,,5.83,0.49,0.24,0.24,,0.24,,,2019
West Tisbury,9.62,,,,0.34,0.34,,,,,,,3.44,2.06,,0.34,0.69,1.03,1.37,0.69,,0.69,,3.78,1.37,1.37,,,,,,2019
MBTA - Dukes County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Dukes State Police,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Dukes State Police Middleboro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
